Dénomination,Raison Sociale,Responsable,Secteur,Activités,Produits,Adresse usine,District,Gouvernorat,Délégation,Téléphone siège/usine,Fax siège/usine,E-mail,URL,Régime,"Pays du Participant 
    Etranger",Entrée en production,Capital en DT,Emploi,Banque_Tunisienne_Associée
CGA,COMPTOIR DE LA GLACE ALIMENTAIRE,Adel Telmoudi,Industries agro-alimentaires,Glaces et sorbets.,Autres produits de glace et de sorbeterie.,RTE DE MEDNINE SHIB - 6032 - TEBOULBOU,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Gabes sud,(216) - 98 434 000 / 75 297 081,(216) - 75 297 082,glaconcga@yahoo.fr,,Non totalement exportatrice,,01/01/2010,588 000,12.0,Union internationale de banques
CHAMS ALA DATTES ET FRUITS,STE CHAMS ALA DATTES ET FRUITS,Farid Touati,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,2200 - TOZEUR,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Tozeur,Tozeur,(216) - 55 014 503 / 22 882 459,,stechamsala.dattes@gmail.com,,Totalement exportatrice,,01/11/2022,300 000,67.0,Banque Zitouna
CHAMS EZZIOUT,STE CHAMS EZZIOUT,Mohamed Ben Ali  Mahmoudi,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,RTE DE MAHDIA KM 20 - 3036 - EL AMRA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,El amra,(216) - 23 412 036,,,,Non totalement exportatrice,,07/12/2005,110 000,14.0,Banque nationale agricole
CHARK,STE ECH CHARK DE TABAC,Sami Labidi,Industries agro-alimentaires,Industrie du tabac.,Tabacs homogénéisés ou reconstitués.,RTE DE SOUSSE - 4029 - SOUSSE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Ksiba Zaouia Thrayet,(216) - 73 387 084 / 58 810 363,(216) - 73 387 088,finance@chark.com.tn,http://www.moassel.tabac.com,Totalement exportatrice,,25/05/1989,102 000,65.0,Banque de Tunisie
CHATEUR FRERES,STE CHATEUR FRERES,Abdelhamid Chateur,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de fruits et légumes.,8052 - NIANOU,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Grombalia,(216) - 72 204 828,(216) - 72 204 727,ameltounsi.s@gmail.com,,Non totalement exportatrice,,06/03/1998,600 000,45.0,Banque de l'habitat
CHEBEL,STE CHEBEL,Samir Ben Meftah,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles de grignon.,Z.I. - 3080 - JEBENIANA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Jebeniana,(216) - 98 487 973,,,,Non totalement exportatrice,,30/10/2013,60 000,10.0,Union internationale de banques
CHIRAZ DATTES,STE CHIRAZ DATTES,Chiraz Grine,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Entreposage frigorifique de fruits et légumes.,ZAOUIET EL ARAB - 2261 - SABAA ABAAR,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Tozeur,Dagach,(216) - 96 969 803,,,,Non totalement exportatrice,,20/02/2023,60 000,11.0,Banque nationale agricole
CHO,STE DE CONDITIONNEMENT DES HUILES D'OLIVES,Abdellaziz Makhloufi,Industries agro-alimentaires,Huiles d'olives et conditionnement - Conditionnement et entreposage frigorifique de fruits et de légumes.,Huiles  d'olive - Mise en bouteille et conditionnement de l'huile d'olive.,RTE DE MAHDIA KM 10 - 3054 - MARKEZ SEBAI,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sakiet eddaier,(216) - 74 447 677 / 74 831 522,(216) - 74 831 067,cho@olivolio.com,http://www.olivolio.com,Non totalement exportatrice,,01/12/1996,50 000 000,93.0,Arab Tunisian Bank
CHO (KAIROUAN),C.H.O COMPANY (KAIROUAN),Hamadi Maalej,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles de grignon - Grignons épuisés conditionnés.,EL AWAYED KM 74 - 3116 - CHRARDA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Echrarda,(216) - 74 831 672 / 77 259 004,(216) - 74 831 067 / 77 259 006,cho@olivolio.com,http://www.olivolio.com,Totalement exportatrice,Italie,21/05/2006,2 500 000,46.0,Arab Tunisian Bank
CHO COMPANY,C.H.O COMPANY,Abdelaziz Makhloufi,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive - Huiles de grignon.,RTE DE MAHDIA KM 18 - 3036 - EL AMRA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,El amra,(216) - 29 957 451 / 29 336 988,(216) - 74 447 678,cho@planet.tn,http://www.terradelyssa.com,Totalement exportatrice,,10/12/2007,41 677 040,380.0,Banque internationale arabe de Tunisie
CHOKRANE ENTREPOSAGE FRIGORIFIQUE,STE CHOKRANE ENTREPOSAGE FRIGORIFIQUE,Nahed Najjar,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Entreposage frigorifique de fruits et légumes.,RUE OMAR ABDELAZIZ - 2260 - DEGUECHE,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Tozeur,Dagach,(216) - 26 358 646,,,,Non totalement exportatrice,,06/02/2023,87 000,10.0,Banque de l'habitat
CIM (SILIANA),COMPLEXE IND MESSAOUDI,Abdessalem Messaoudi,Industries agro-alimentaires,Boulangerie - Pâtisserie.,Pains industriels - Pâtisserie fraîche.,AVE 2 MARS - 6100 - SILIANA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Siliana,Siliana sud,(216) - 78 870 274,,,,Non totalement exportatrice,,15/07/2000,-,15.0,Banque nationale agricole
CLB,CENTRALE LAITIERE DE BIZERTE,Hichem Chraief,Industries agro-alimentaires,"Laiteries, fromageries et yaourterie.","Laits de boisson frais, pasteurisés, stérilisés, aromatises, etc. - Beurres, y compris concentrés ou allègés.",RTE DES RUINES - 7060 - UTIQUE,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Utique,(216) - 70 026 200 / 98 440 707,(216) - 70 026 210,hichem_chraief@hotmail.com,,Non totalement exportatrice,,23/11/2015,7 840 000,264.0,Banque internationale arabe de Tunisie
CLC,CENTRALE LAITIERE DU CAP BON,Mohamed Meddeb,Industries agro-alimentaires,"Laiteries, fromageries et yaourterie.","Laits de boisson frais, pasteurisés, stérilisés, aromatises, etc. - Beurres, y compris concentrés ou allègés.",RTE DE MENZEL BOUZELFA KM 1 - 8020 - SOLIMAN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Soliman,(216) - 98 107 927 / 72 290 601,(216) - 71 964 117 / 72 290 062,lassaad.lassoued@groupedelice.com.tn,,Non totalement exportatrice,,03/01/1997,39 960 000,497.0,Banque nationale agricole
CLM,CENTRALE LAITIERE DE MAHDIA,Moez Klabi,Industries agro-alimentaires,"Laiteries, fromageries et yaourterie.","Laits de boisson frais, pasteurisés, stérilisés, aromatises, etc. - Beurres, y compris concentrés ou allègés - Crèmes de lait - Autres produits laitiers.","RTE DE SOUSSE, DKHILA BP 123 - 5100 - MAHDIA","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Mahdia,Mahdia,(216) - 36 277 000 / 36 277 011,(216) - 73 677 257,contact@vitalait.net,http://www.vitalait.net,Non totalement exportatrice,France - Espagne,16/12/1998,36 000 000,855.0,Banque de Tunisie
CLN,CENTRALE LAITIERE DU NORD,Mohamed Meddeb,Industries agro-alimentaires,"Laiteries, fromageries et yaourterie.","Crèmes de lait - Beurres, y compris concentrés ou allègés - Laits de boisson frais, pasteurisés, stérilisés, aromatises, etc..",ERROUMANI - 8170 - BOUSALEM,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Jendouba,Bousalem,(216) - 71 843 118 / 78 616 200,(216) - 71 844 109,daf.laino@planet.tn,,Non totalement exportatrice,,04/12/1990,32 000 000,315.0,Société tunisienne de banque
CODECAP PLUS NORTH AFRICA,CODECAP PLUS NORTH AFRICA,Kamel Deddech,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Entreposage frigorifique de fruits et légumes.,"RTE DE TUNIS, ABEN - 8026 - SAHEB JEBEL","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,El haouaria,(216) - 31 400 393 / 28 544 421,(216) - 72 400 393,codecap@gmail.com,,Non totalement exportatrice,,30/04/2004,1 000,30.0,Amen Bank
COGIA,CIE GLE D'INDUSTRIES ALIMENTAIRES,Enrique Merino,Industries agro-alimentaires,Huiles d'olives et conditionnement - Huiles et graisses raffinées.,Huiles  d'olive.,"RTE DE MOUREDDINE KM 3,5 BP 82 - 4023 - SOUSSE ERRIADH","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Sousse riadh,(216) - 73 301 899,,cogiasa@iffco.com,http://www.iffco.com,Totalement exportatrice,Emirats A.U,01/06/1983,22 770 000,54.0,Union internationale de banques
COHAPROM,STE CONSERVERIE HAYET DES PRODUITS DE LA MER,Mohamed Amine Ben Gharbia,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Poissons et autres fruits de mer congelés.,Z.I. - 7035 - MENZEL ABDERRAHMAN,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Menzel jemil,(216) - 96 032 020 / 72 570 570,,chpm.bizerte@gmail.com,,Non totalement exportatrice,,27/07/2022,1 378 000,60.0,Banque Zitouna
COMOCAP,STE LES CONSERVES MODERNES DU CAP BON,Mohamed Moncef Bay,Industries agro-alimentaires,Transformation et conservation de tomates - Conservation et semi-conservation d'autres légumes - Transformation et conservation de fruits et légumes.,"Concentré de tomates - Concentré d'harissa - Confitures, marmelades, compotes et gelées.",AVE HABIB BOURGUIBA - 8026 - SAHEB JEBEL,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,El haouaria,(216) - 72 294 525 / 72 294 032,(216) - 72 294 570,petitparis@planet.tn,http://www.lepetitparis.com.tn,Non totalement exportatrice,,15/07/1962,9 900 000,290.0,Banque de l'habitat
COMPTOIR INTERNATIONAL DES DATTES,COMPTOIR INTERNATIONAL DES DATTES (CID),Mohamed Essafi,Industries agro-alimentaires,Transformation et conservation de fruits et légumes.,"Fruits congelés, surgelés.","AVE FARHAT HACHED, RTE KONDAR - 4060 - KALAA EL KEBIRA","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Kalaa kebira,(216) - 31 401 152,,contact@cidattes.tn,http://www.cidattes.tn,Totalement exportatrice,,24/11/2016,600 000,12.0,Banque Zitouna
CONFISERIE DONIA,CONFISERIE DONIA,Mongi Ennaceur,Industries agro-alimentaires,"Chocolaterie, confiserie.",Tablettes de chocolat - Confiseries.,"RTE DE SOUSSE, KM 3 - 5160 - EL JEM","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Mahdia,El jem,(216) - 51 908 415 / 56 063 718,(216) - 73 638 003,info@confiserie-donia.com,,Non totalement exportatrice,,07/01/2017,300 000,70.0,Amen Bank
CONFISERIE EL BOUSTAN,CONFISERIE EL BOUSTAN,Nozha Halouani,Industries agro-alimentaires,"Chocolaterie, confiserie.",Tablettes de chocolat.,RTE DE TUNIS KM 12 - 3021 - SAKIET EZZIT,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sakiet ezzit,(216) - 74 862 220,(216) - 74 862 992,confisserie.leboustan@yahoo.com,,Non totalement exportatrice,,02/09/2008,1 440 000,24.0,Amen Bank
CONGEMER PLUS,STE CONGEMER PLUS,Jalel Chtioui,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Poissons et autres fruits de mer congelés.,Z.I. MADAGASCAR - 3000 - SFAX,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax ville,(216) - 98 431 630,(216) - 74 462 053,jalel.chtioui@gmail.com,,Non totalement exportatrice,,07/01/2015,266 000,29.0,Banque nationale agricole
CONSERVERIE AYACHI,STE CONSERVERIE AYACHI,Slim Zammal,Industries agro-alimentaires,Transformation et conservation de tomates.,"Conserves de tomates (pelées, concassées).",MANSOURA SUD - 6114 - KESRA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Siliana,Kesra,(216) - 70 254 680 / 78 820 050,(216) - 78 820 051,comptabilite@ayachi-group.com,http://www.herbestunisie.com,Totalement exportatrice,,14/05/2014,10 000 000,79.0,Attijari Bank
CONSORTIUM AGROLAND,CONSORTIUM AGROLAND,Abdelbasset Landoulsi,Industries agro-alimentaires,Transformation et conservation de tomates - Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de fruits et légumes - Autres produits à base de tomates.,RTE D'EL BATTEN - CITE ENNAJET - 1124 - JEDAIDA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Manouba,Djdeida,(216) - 71 798 897 / 71 649 605,(216) - 71 784 116 / 71 649 602,consortium.agroland@gmail.com,http://www.consortium-agroland.com,Totalement exportatrice,,18/01/2010,875 000,60.0,Banque de Tunisie
COPROD,CONGELES ET PRODUITS DHAOUI,Faouzi Saida,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Poissons et autres fruits de mer congelés.,RTE DE PORT - 4170 - ZARZIS,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Zarzis,(216) - 20 241 779 / 70 253 384,,golden.fish.sfax@live.fr,,Non totalement exportatrice,Italie,03/10/1994,200 000,20.0,Banque nationale agricole
COTSAR,STE COTSAR,Mekki Chouikha,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Conserves de poissons.,RTE DE BEN GUERDANE KM6 - 4170 - ZARZIS,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Zarzis,(216) - 25 430 203 / 75 679 804,(216) - 75 749 111 / 75 679 804,cotsarcompany@yahoo.fr,,Non totalement exportatrice,,01/11/2012,500 000,74.0,Amen Bank
COTUGRAIN,COTUGRAIN (EX.SOTUGRAIN),Badri Chedli,Industries agro-alimentaires,Industries alimentaires n.c.a..,Autres produits alimentaires.,Z.I. - 9070 - MEDJEZ EL BAB,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Mjaz el bab,(216) - 71 295 297,(216) - 71 426 644,info@cotugrain.com.tn,,Non totalement exportatrice,,15/09/2007,279 000,16.0,Banque nationale agricole
COTUPRAL,COTUPRAL,Sabri Ben Salem,Industries agro-alimentaires,Pâtes alimentaires et couscous.,Autres pâtes.,RUE ALI BELHOUANE - 7016 - EL ALIA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,El alia,(216) - 72 453 217 / 25 453 217,,cotupralsarl@gmail.com,,Non totalement exportatrice,Espagne - France,15/09/2006,640 000,10.0,Société tunisienne de banque
COTUSEM,CIE TNNE DE SEMOULERIE,Mohamed Salah Khalfallah,Industries agro-alimentaires,Meunerie - Travail des grains (semoulerie ).,"Semoules - Farines de boulangerie et de pâtisserie, etc..","1, RUE 9007 - 1015 - JEBEL JELLOUD","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,Jbel jeloud,(216) - 70 837 332 / 36 403 404,(216) - 70 837 364,afrique.export@planet.tn,,Non totalement exportatrice,,02/01/1931,30 000 000,140.0,Amen Bank
CPA,STE DE CONDITIONNEMENT DE PRODUITS AGRICOLES,Mondher Znaidi,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de fruits et légumes - Autres conditionnement à froid.,"RUE 1 JUIN, BP N°129 - 8090 - KELIBIA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Kelibia,(216) - 98 342 380 / 72 294 294,(216) - 72 294 390,agrifroid@gmail.com,,Non totalement exportatrice,,01/10/2004,340 000,30.0,Union internationale de banques
CPL,CENTRALE DES PRODUITS LAITIERS,Walid Gahbiche,Industries agro-alimentaires,"Laiteries, fromageries et yaourterie.","Fromages à pâte molle, pressée, persillée à pâte cuite etc. - Fromages fondus, râpés ou en poudre.",RTE DE LANSARINE - 1130 - TEBOURBA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Manouba,El battan,(216) - 70 258 060,(216) - 70 258 070,eya.eloumi@souani.com.tn,http://www.souani.tn,Non totalement exportatrice,,02/01/1983,2 420 000,42.0,Banque Zitouna
CRACOCARTE,CRACOCARTE TUNISIE,Mahmoud Rabaoui,Industries agro-alimentaires,"Chocolaterie, confiserie.",Confiseries.,Z.I. RTE DE TUNIS - 3100 - KAIROUAN,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Kairouan nord,(216) - 77 272 212,(216) - 77 272 213,cracocartetunisie@yahoo.com,,Totalement exportatrice,,07/09/2009,680 000,17.0,Amen Bank
CREMERIE GLE,STE CREMERIE GLE,Moncef Merkhi,Industries agro-alimentaires,"Laiteries, fromageries et yaourterie.","Laits fermentés, yaourts et desserts lactés frais - Fromages frais - Autres produits laitiers.",4126 - BENI MAAGEL,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Jerba midoun,(216) - 98 424 091 / 75 754 336,(216) - 75 754 336,cremeriegenerale@yahoo.fr,,Non totalement exportatrice,,01/02/2001,60 000,19.0,Banque de l'habitat
CRISTAL TUNISIE,CRISTAL TUNISIE,Mohamed Ali Jarraya,Industries agro-alimentaires,Huiles et graisses brutes.,Mise en bouteille et conditionnement des huiles végétales.,"RUE DES USINES, SIDI REZIG - 2033 - MEGRINE","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Megrine,(216) - 71 426 509 / 71 297 855,(216) - 71 425 637,cristal.tunisie@planet.tn,,Non totalement exportatrice,Maroc - France,01/09/2006,6 095 750,27.0,Banque de Tunisie
CSM GIAS,CSM GIAS,Ahsen Marrakchi,Industries agro-alimentaires,Margarine - Industries alimentaires n.c.a..,Autres produits alimentaires - Margarine de cuisson des aliments.,Z.I. - 8040 - BOUARGOUB,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Bou argoub,(216) - 71 862 599 / 72 259 511,(216) - 71 860 659 / 72 259 639,info@csmgias.com.tn,http://www.csmgias.com,Non totalement exportatrice,Hollande,01/01/2011,30 883 600,191.0,Société tunisienne de banque
CVBA,COOP VITICOLE DE BOU ARGOUB,Mustapha Laswed,Industries agro-alimentaires,Vins de raisins frais.,Vins de raisins.,RTE DE SOUSSE KM 47 - 8040 - BOUARGOUB,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Bou argoub,(216) - 72 259 820 / 72 259 555,(216) - 72 259 966,cave.vitibouargoub@planet.tn,,Non totalement exportatrice,,25/06/1977,1 966 245,75.0,Union internationale de banques
CVG,STE MUTUELLE DE BASE CAVE VITICOLE GROMBALIA,Ali Ben Chtiwa,Industries agro-alimentaires,Vins de raisins frais.,Vins de raisins.,"SAMMECHE KM 33, GP 1 - 8030 - GROMBALIA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Grombalia,(216) - 72 212 373,(216) - 72 212 384,cavegrombalia@gmail.com,,Non totalement exportatrice,,01/11/1978,863 000,40.0,Arab Tunisian Bank
DAKHLA,STE DAKHLA,Lotfi Bettaieb,Industries agro-alimentaires,Aliments pour animaux de ferme.,Aliments complets pour les animaux de ferme.,RTE DE KORBOUS - EL MARJA KM7 - 8020 - SOLIMAN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Soliman,(216) - 26 849 080 / 26 908 307,(216) - 72 398 185,sdpaa751710cam000@gmail.com,,Non totalement exportatrice,,10/03/2001,9 000 000,40.0,Union internationale de banques
DALMARE PLUS,STE DALMARE PLUS,Amira M'nasli,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.","Poissons cuits, filets et laitances.",RTE DE TUNIS KM 5 - 8090 - KELIBIA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Kelibia,(216) - 70 253 603 / 72 273 264,(216) - 72 273 263,dalmar@hotmail.fr,,Totalement exportatrice,Italie,24/02/2011,20 000,130.0,Arab Tunisian Bank
DAMAK FRERES PLUS,STE DAMAK FRERES PLUS,Hassen Damak,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,RTE DE MENZEL CHAKER KM 12 - 3059 - EL KHAZZANETTE,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax sud,(216) - 99 418 578,(216) - 74 639 427,dammakhassen1975@gmail.com,,Non totalement exportatrice,,25/03/2009,910 000,29.0,Banque de l'habitat
DANA DES INDUSTRIES ALIMENTAIRES,STE DANA DES INDUSTRIES ALIMENTAIRES,Kamel Naceur,Industries agro-alimentaires,"Chocolaterie, confiserie.",Confiseries.,RTE DE SOUSSE - 5160 - EL JEM,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Mahdia,El jem,(216) - 73 638 002 / 73 631 211,(216) - 73 631 951,dana.industriealimentaire@gmail.com,,Non totalement exportatrice,,14/05/2022,750 000,35.0,Banque Zitouna
DATEIBLE TUNISIA,STE DATEIBLE TUNISIA,Kevin Reynold Klay,Industries agro-alimentaires,Sucrerie.,Autres sucres.,BAYADHA - 2240 - NEFTA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Tozeur,Nefta,(216) - 20 582 273,,,,Totalement exportatrice,USA,13/03/2020,50 000,30.0,Banque Zitouna
DELICE DE SFAX,STE DELICE DE SFAX,Mokhtar Lahiani,Industries agro-alimentaires,"Chocolaterie, confiserie.",Confiseries - Gommes à mâcher - Autres confiseries.,RUE JAMEL EDDINE EL AFGHANI Z.I. POUDRIERE I - 3002 - EL BOUSTENE,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax ville,(216) - 74 286 314 / 74 286 166,(216) - 74 286 216,contact@delices-de-sfax.com,http://www.delices-de-sfax.com,Non totalement exportatrice,,01/01/1981,655 000,13.0,Attijari Bank
DERGAA ET CIES,DERGAA ET CIES,Guiseppe Cunneri,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.","Poissons et autres fruits de mer congelés - Séchage, fumage, salage, saumurage de poissons.",PORT DE PECHE - 7021 - ZARZOUNA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Zarzouna,(216) - 72 492 772 / 24 780 779,,dergaacies@gmail.com,,Totalement exportatrice,Italie,27/11/2022,185 000,24.0,Banque de Tunisie
DEYMA,STE DEYMA,Mohsen Boujbal,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,"31, RUE 8603, Z.I. CHARGUIA - 2035 - TUNIS CARTHAGE","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,Cite el khadra,(216) - 71 771 117,(216) - 71 772 994,h.tebourski@deyma-gift.com,,Non totalement exportatrice,,20/06/2003,555 000,34.0,Arab Tunisian Bank
BRIQUETERIE MAZDOUR,STE BRIQUETERIE DE MAZDOUR,Mourad Abbes,Industries des matériaux de construction céramique et verre,Briques et hourdis.,Briques creuses ou perforées.,Z.I. - 5032 - MAZDOUR,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Bembla,(216) - 73 272 710 / 73 414 463,(216) - 73 414 460,sbm_mazdour@yahoo.fr,,Non totalement exportatrice,,01/09/1994,6 750 000,302.0,Banque de Tunisie
BRIQUETERIE OUNAISSA,BRIQUETERIE ABDELKRIM OUNAISSA,Abdelkrim Ounaissa,Industries des matériaux de construction céramique et verre,Briques et hourdis.,Briques creuses ou perforées.,RTE DE SOMAA - 8060 - BENI KHIAR,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Beni khiar,(216) - 98 318 738,,,,Non totalement exportatrice,,25/12/1973,-,10.0,Union internationale de banques
BTI,BTI,Hichem Ben Hassine,Industries des matériaux de construction céramique et verre,Autres articles en verre.,Autres produits en verre.,Z.I. ENNASR - 7030 - MATEUR,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Mateur,(216) - 70 029 380 / 70 029 382,,hichem.benhassine@bisazza.com,,Totalement exportatrice,Italie,19/11/2008,10 000,92.0,Amen Bank
CAP BETON,STE CAP BETON,Raouf Abbassi,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi.,Béton prêt à l'emploi.,Z.I. BENI KHIAR - 8060 - BENI KHIAR,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Beni khiar,(216) - 73 275 788,(216) - 73 275 788,raouf.abbassi@capbeton.tn,,Non totalement exportatrice,,01/06/2017,400 000,35.0,Banque de Tunisie
CARMEUSE TUNISIE,STE CARMEUSE TUNISIE,Omrane Khila,Industries des matériaux de construction céramique et verre,Chaux.,Autres chaux.,EL MAGCEM - 6020 - EL HAMMA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,El hamma,(216) - 26 205 000,,omrane.khila@carmeusetunisie.com,https://www.carmeuseoverseas.com,Non totalement exportatrice,Belgique,06/05/2016,9 400 000,40.0,Société tunisienne de banque
CARRELAGES CHAIEB,CARRELAGES CHAIEB,Mourad Chaieb,Industries des matériaux de construction céramique et verre,Carreaux en ciment.,Carreaux mosaïques - Carreaux marbrés.,5036 - MENZEL HARB,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Bembla,(216) - 73 420 800,(216) - 73 420 801,carrelages.chaieb@topnet.tn,,Non totalement exportatrice,,03/02/1979,-,50.0,Banque nationale agricole
CARRELAGES CHAIEB (MENZEL HARB),STE CARRELAGES CHAIEB,Mourad Chaieb,Industries des matériaux de construction céramique et verre,Carreaux en ciment.,Carreaux mosaïques - Carreaux marbrés.,MENZEL HARB - 5036 - MENZEL HARB,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Bembla,(216) - 29 653 000 / 73 420 800,(216) - 73 420 801,carrelages.chaieb@topnet.tn,,Non totalement exportatrice,,27/01/2015,1 144 000,60.0,Banque de Tunisie
CARRELAGES TOUHAMI,STE  TOUHAMI DE CARRELAGES,Mohamed Salah Touhami,Industries des matériaux de construction céramique et verre,Carreaux en ciment.,Carreaux mosaïques - Carreaux marbrés.,Z.I. EL AGUILA - 2100 - GAFSA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Gafsa,Gafsa sud,(216) - 98 584 764 / 76 222 764,(216) - 76 222 743,touhamicarrelage@gmail.com,,Non totalement exportatrice,,02/09/2008,1 295 000,15.0,Banque internationale arabe de Tunisie
